category_name,Category
STRAIGHT RYE WHISKIES,Whisky
SINGLE MALT SCOTCH,Whisky
BARBADOS RUM,Rum
IMPORTED AMARETTO,Amaretto
CREME DE ALMOND,Schnapps
IRISH WHISKIES,Whisky
MISCELLANEOUS BRANDIES,Brandies
DISTILLED SPIRITS SPECIALTY,Whisky
APPLE SCHNAPPS,Schnapps
COFFEE LIQUEURS,Liqueurs
SINGLE BARREL BOURBON WHISKIES,Whisky
TEQUILA,Tequila
SPICED RUM,Rum
FLAVORED RUM,Rum
CREAM LIQUEURS,Liqueurs
IMPORTED VODKA,Vodka
VODKA 80 PROOF,Whisky
VODKA FLAVORED,Vodka
100 PROOF VODKA,Vodka
SCOTCH WHISKIES,Whisky
BLENDED WHISKIES,Whisky
AMERICAN DRY GINS,Gin
CANADIAN WHISKIES,Whisky
DECANTERS & SPECIALTY PACKAGES,Whisky
IMPORTED DRY GINS,Gin
MISCELLANEOUS SCHNAPPS,Schnapps
TRIPLE SEC,Liqueurs
BLACKBERRY BRANDIES,Brandies
AMERICAN SLOE GINS,Gin
AMERICAN AMARETTO,Amaretto
ROCK & RYE,Whisky
APRICOT BRANDIES,Brandies
GRAPE SCHNAPPS,Schnapps
PEACH SCHNAPPS,Schnapps
BUTTERSCOTCH SCHNAPPS,Schnapps
CINNAMON SCHNAPPS,Schnapps
STRAWBERRY SCHNAPPS,Schnapps
RASPBERRY SCHNAPPS,Schnapps
WATERMELON SCHNAPPS,Schnapps
ROOT BEER SCHNAPPS,Schnapps
TROPICAL FRUIT SCHNAPPS,Schnapps
BOTTLED IN BOND BOURBON,Whisky
WHISKEY LIQUEUR,Whisky
JAMAICA RUM,Rum
OTHER PROOF VODKA,Vodka
FLAVORED GINS,Gin
AMERICAN ALCOHOL,Schnapps
DARK CREME DE CACAO,Schnapps
CHERRY BRANDIES,Brandies
GREEN CREME DE MENTHE,Schnapps
WHITE CREME DE CACAO,Schnapps
PEACH BRANDIES,Brandies
ANISETTE,Schnapps
WHITE CREME DE MENTHE,Schnapps
SPEARMINT SCHNAPPS,Schnapps
